"唯一问题编号
(自动生成)",问题,经济活动,具体形式,特殊主体,特殊行业,备注,财税类型,原答案,政策引文,标注答案
gzb1_149,企业购入的生产设备，先支付了30%，剩余分两年还清，本月支付24000元并收到2000多元的利息发票，利息是否可以单独算利息费用，还是计入固定资产？,采购货物,,,,,财务,利息单独计入财务费用-利息支出既可。,,利息应单独计入财务费用，不能计入固定资产成本。根据固定资产准则，固定资产成本仅包括使其达到预定可使用状态前的必要支出。分期付款利息属于购买后的融资成本，属于财务费用。收到利息发票后，直接凭票将利息部分计入“财务费用—利息支出”。
gzb1_153,一个新创立的公司，实收资本如何做账,股东注资及减资,,,,,财务,"认缴制下，没有实缴时不做账务处理。
等实际收到股东出资时：
借：银行存款等
贷：实收资本
       资本公积",,"实收资本科目用于核算公司股东按章程约定实际投入的资本金。在认缴登记制下，会计仅对股东已实缴的出资部分进行账务处理，其认缴但未实缴的金额不做会计处理，仅于工商登记信息中列示。当股东实际出资时，应根据出资财产的类型，按评估或约定的公允价值进行会计处理。

借：银行存款/固定资产/无形资产/ 存货（按出资财产类型计入对应资产科目）
        应交税费 — 应交增值税（进项税额） （如股东以货物、设备出资且能取得专票）
贷：实收资本——股东名称    
        资本公积 — 资本溢价（出资额超出其享有份额的部分，如有）"
gzb1_158,我公司应付的材料款，要是不给人家了，做什么分录,债务重组,,,,,财务,"无法支付的应付账款可以计入营业外收入
借：应付账款
贷：营业外收入",,"对于确定无需支付的应付款项，应作为企业的利得。这项利得与企业日常的主营经营活动没有直接关系，故计入营业外收入。
借：应付账款
贷：营业外收入"
gzb1_160,我公司有代发工资代交社保的业务，服务费部分开5%，其他部分是代交社保、代发工资，请问会计分录如何处理？,提供服务,,,,,财务,"收取服务费并帮企业代发工资、代缴社保的账务处理您参考：
1、收取服务费及代收转付社保工资时：
借：银行存款
贷：主营业务收入（服务费部分）
应交税费—应交增值税（销项税额）/应交税费—简易计税/应交税费—应交增值税
其他应付款（代收转付社保工资等）
2、结转成本：
借：主营业务成本
贷：银行存款等
3、代发工资及代缴社保时：
借：其他应付款
贷：银行存款
",,"收取服务费并帮企业代发工资、代缴社保的账务处理您参考：
1、收取服务费及代收转付社保工资时：
借：银行存款
贷：主营业务收入（服务费部分）
应交税费—应交增值税（销项税额）/应交税费—简易计税/应交税费—应交增值税
其他应付款（代收转付社保工资等）
2、结转成本：
借：主营业务成本
贷：银行存款等
3、代发工资及代缴社保时：
借：其他应付款
贷：银行存款
"
gzb1_167,我们替供热公司先垫付了电费（个人支付），上个月电费我们公司交了，但是忘了开票，下个月票到了，这个月和下个月分别怎么做账？,采购货物,,,,,财务,本月实际缴纳电费没有收到发票，可以正常入账，根据受益对象以及受益期间，计入相关成本费用科目，下个月收到发票之后，和上月入账金额没有差异，可以直接将发票附在凭证后面，也可以先红冲上面入账分录，在根据发票重新入账。,,"由于公司只是帮忙垫付电费，故仅做往来即可。

会计分录如下：
本月
1.个人垫付电费时，暂不做账
2.公司向个人报销垫付的电费时，
借：其他应收款-供热公司
贷：其他应付款-个人

借：其他应付款-个人
贷：银行存款等

下月
1.取得发票后，无需做账务处理，将发票原件转交供热公司，复印件作为附件留存归档

2.收回代垫款时，
借：银行存款
贷：其他应收款-供热公司

注：开票时发票抬头应该是供热公司而非贵公司。"
gzb1_172,漏记废铁无票收入，6月份补交了2022.2023年增值税和小税种应该怎么入账,销售货物,,,,,财务,"如果账务上漏记收入，可以参考如下分录：
1、补做收入分录：
借：应收账款等
贷：主营业务收入/其他业务收入
应交税费——应交增值税（销项税额）/应交税费—应交增值税（小规模纳税人企业）
2、补提附加税分录：
借：税金及附加
贷：应交税费-应交城市维护建设税/应交教育费附加/应交地方教育费附加
3、实际缴纳分录：
借：应交税费——应交增值税（销项税额）/应交税费—应交增值税（小规模纳税人企业）
    应交税费-应交城市维护建设税/应交教育费附加/应交地方教育费附加
营业外支出 （滞纳金）
贷：银行存款

小贴士：跨年涉及以前年度损益科目时，执行企业会计准则需要计入“以前年度损益调整科目”。执行小企业会计准则，建议按照未来适用法计入当期损益即可，金额较大不想影响入账年份的利润金额，执行小企业会计准则可以通过“利润分配-未分配利润”科目

",,"如果账务上漏记收入，可以参考如下分录：
1、补做收入分录：
借：应收账款等
贷：主营业务收入/其他业务收入
应交税费——应交增值税（销项税额）/应交税费—应交增值税（小规模纳税人企业）
2、补提附加税分录：
借：税金及附加
贷：应交税费-应交城市维护建设税/应交教育费附加/应交地方教育费附加
3、实际缴纳分录：
借：应交税费——应交增值税（销项税额）/应交税费—应交增值税（小规模纳税人企业）
    应交税费-应交城市维护建设税/应交教育费附加/应交地方教育费附加
营业外支出 （滞纳金）
贷：银行存款

小贴士：跨年涉及以前年度损益科目时，执行企业会计准则需要计入“以前年度损益调整科目”。执行小企业会计准则，建议按照未来适用法计入当期损益即可，金额较大不想影响入账年份的利润金额，执行小企业会计准则可以通过“利润分配-未分配利润”科目"
gzb1_174,我是钢贸行业，现在有加工费的支出，这项业务怎么记账？,采购服务,,,,,财务,"您企业委托给其他企业加工商品，支付的加工费，属于商品的成本之一，在加工完成入库之前，可以先计入“委托加工物资”，加工完成后，从“委托加工物资”结转到“库存商品”既可，如果不是委托加工的货物发生的加工费，可以归集在“生产成本”，完工后结转到库存商品，具体分录您参考：
支付加工费：
借：委托加工物资—加工费/生产成本
应交税费—应交增值税（进项税额）（若涉及）
贷：银行存款、应付账款等
",,"您企业委托给其他企业加工商品，支付的加工费，属于商品的成本之一，在加工完成入库之前，可以先计入“委托加工物资”，加工完成后，从“委托加工物资”结转到“库存商品”既可，如果不是委托加工的货物发生的加工费，可以归集在“生产成本”，完工后结转到库存商品，具体分录您参考：
支付加工费：
借：委托加工物资—加工费/生产成本
应交税费—应交增值税（进项税额）（若涉及）
贷：银行存款、应付账款等
"
gzb1_176,职工加班餐费的会计凭征处理,职工薪酬,,,,,财务,"职工加班餐费需要区以下两种情况：
情况一：属于职工福利，计入职工福利既可，具体分录您参考：
借：管理费用、生产成本等（可以根据员工的工作岗位合理确认下）
贷：应付职工薪酬——职工福利费
借：应付职工薪酬——职工福利费
贷：银行存款、库存现金等
情况二：每月固定与工资薪金一起发放给员工的餐补：
账务处理可以参考：
借：管理费用、销售费用等
贷：应付职工薪酬——工资
借：应付职工薪酬——工资
贷：银行存款",,"职工加班餐费的会计处理需分具体情形判定，同时结合政策口径与实务操作规范，具体如下：
情形一：非固定发放的加班就餐支出
财企〔2009〕242 号文未明确将此类支出纳入职工福利费列支范围，严格按财务制度应计入对应成本费用科目（如管理费用 / 生产成本 / 制造费用 —— 其他）；实务中部分企业参照福利性质核算，分录如下：
借：管理费用 / 生产成本等（按员工岗位归集）
贷：应付职工薪酬 —— 职工福利费
借：应付职工薪酬 —— 职工福利费
贷：银行存款 / 库存现金
情形二：每月固定随工资发放的加班餐补
此类支出属于工资薪金范畴，账务处理如下：
借：管理费用 / 销售费用等
贷：应付职工薪酬 —— 工资
借：应付职工薪酬 —— 工资
贷：银行存款"
gzb1_177,计提社保医保的会计分录是什么？,职工保险及公积金,,,,,财务,"社保医保的计提分类您参考：
1、计提时：
借：管理费用、生产成本等
贷：应付职工薪酬—工资（包括个人承担社保、公积金部分）
      应付职工薪酬—养老、医疗、公积金等（单位承担部分）
2、发放工资时：
借：应付职工薪酬—工资
贷：其他应付款—养老、医疗、公积金等（个人承担部分）
应交税费—应交个人所得税
银行存款
3、交社保和个税时：
借：其他应付款—养老、医疗、公积金等（个人承担部分）
应付职工薪酬—养老、医疗、公积金等（单位承担部分）
应交税费—应交个人所得税
贷：银行存款",,"社保医保的计提分类您参考：
1、计提时：
借：管理费用、生产成本等
贷：应付职工薪酬—工资（包括个人承担社保、公积金部分）
    应付职工薪酬—养老、医疗、公积金等（单位承担部分）
2、发放工资时：
借：应付职工薪酬—工资
贷：其他应付款—养老、医疗、公积金等（个人承担部分）
    应交税费—应交个人所得税
    银行存款
3、交社保和个税时：
借：其他应付款—养老、医疗、公积金等（个人承担部分）
    应付职工薪酬—养老、医疗、公积金等（单位承担部分）
    应交税费—应交个人所得税
贷：银行存款"
gzb1_184,公司工抵来的车位和地下室，没支付差价，小企业会计准则，没给开发票，怎么入帐？,债务重组,,,,,财务,"工抵来的车位和地下室，债权人的账务处理您参考：
借：固定资产等（放弃债权的公允价值+为取得资产的相关税费）
营业外支出（借方差额）
贷：应收账款等
营业外收入（贷方差额）

小贴士：执行小企业会计准则的企业，也可以参考新债务重组企业会计准则的规定，将差额计入投资收益科目哦~

没有取得发票的话，该资产的折旧不能在企业所得税税前扣除。",,"是否开发票并不影响入账，若您方已取得合法抵债协议、评估报告、产权证书等可证明已取得资产所有权的合法凭证，即可正常入账。
会计分录可参考：
借：固定资产等（放弃债权的公允价值+为取得资产的相关税费）
营业外支出（借方差额）
贷：应收账款等
营业外收入（贷方差额）

小贴士：
1.工抵车位/地下室本质是债务重组，固定资产的成本可参考《企业会计准则第 12 号——债务重组》第六条，固定资产的成本，包括放弃债权的公允价值和使该资产达到预定可使用状态前所发生的可直接归属于该资产的税金、运输费、装卸费、安装费、专业人员服务费等其他成本；
2.执行小企业会计准则的企业，也可以参考新债务重组企业会计准则的规定，将差额计入投资收益科目；
3.若未取得发票，该资产的折旧不能在企业所得税税前扣除。"
gzb1_185,我公司有台机床设备，当时在购买时没有取得设备的进项发票只有零星安装材料发票，随着业务的扩大现在想把机床卖掉，小企业会计准则，账务处理怎么做？,销售货物,,,,,财务,"执行小企业会计准则的企业，处置固定资产的账务处理您参考：
1、固定资产转入清理：
借：固定资产清理
累计折旧
贷：固定资产
2、发生清理费用：
借：固定资产清理
借：应交税费—应交增值税（进项税额）【若涉及】
贷：银行存款
3、收到处置收入：
借：银行存款等
贷：固定资产清理
应交税费—应交增值税（销项税额）/应交税费—简易计税/应交税费—应交增值税
4、结转固定资产净损益：
（1）净损失
借：营业外支出
贷：固定资产清理
（2）净收益
借：固定资产清理
贷：营业外收入",,"执行小企业会计准则的企业，处置固定资产的账务处理您参考：
1、固定资产转入清理：
借：固定资产清理
    累计折旧
贷：固定资产
2、发生清理费用：
借：固定资产清理
借：应交税费—应交增值税（进项税额）【若涉及】
贷：银行存款
3、收到处置收入：
借：银行存款等
贷：固定资产清理
    应交税费—应交增值税（销项税额）/应交税费—简易计税/应交税费—应交增值税
4、结转固定资产净损益：
（1）净损失
借：营业外支出
贷：固定资产清理
（2）净收益
借：固定资产清理
贷：营业外收入"
gzb1_197,我公司有个停车场运营项目 给停车的客户开票开什么票,提供服务,,,,,财务,"车辆停放服务按照不动产经营租赁服务缴纳增值税，一般纳税人适用9%税率，小规模纳税人适用5%征收率。
提示：如果是2016年4月30日前取得的停车场，一般纳税人可以选择适用简易计税方法，按照5%的征收率计算缴纳增值税。
参考文件：《财政部国家税务总局关于全面推开营业税改征增值税试点的通知》(财税〔2016〕36号)。","中华人民共和国增值税法实施条例|第三十七条
财政部 国家税务总局关于全面推开营业税改征增值税试点的通知（财税〔2016〕36号）|附件1 营业税改征增值税试点实施办法|附：销售服务、无形资产、不动产注释 |一|（六）
中华人民共和国增值税法|第十条
财政部 国家税务总局关于全面推开营业税改征增值税试点的通知（财税〔2016〕36号）|附件2营业税改征增值税试点有关事项的规定|一|（九）","停车费可以开具增值税定额发票或其他发票，若开具其他发票，应根据如下规范开具发票：
1.发票类型：应开具增值税普通发票或增值税专用发票，停车人为个人的只能开具增值税普通发票。
2.发票品目：现代服务-租赁服务-经营租赁-不动产经营租赁服务-车辆停放服务
3.税率/征收率：一般纳税人适用9%税率，小规模纳税人适用5%征收率。提示：如果是2016年4月30日前取得的停车场，一般纳税人可以选择适用简易计税方法，按照5%的征收率计算缴纳增值税。"
gzb1_208,差旅报销单中的住宿费是否也计入差旅费？,采购服务,,,,,财务,"差旅费中包含住宿费的，差旅人员出差期间的住宿费可以计入差旅费。
《中央和国家机关差旅费管理办法》的规定：差旅费是指工作人员临时到常驻地以外地区公务出差所发生的城市间交通费、住宿费、伙食补助费和市内交通费。",,"企业员工因公务出差发生的住宿费，属于差旅费的核心组成部分，是为实现公务目的而发生的必要期间费用，可计入差旅费。
参照《中央和国家机关差旅费管理办法》第三章住宿费的规定，住宿费是指工作人员因公出差期间入住宾馆（包括饭店、招待所，下同）发生的房租费用，属于差旅费的部分。"
gzb1_223,我公司购买了一块土地，贷款了500万元，城市基础设施配套费缴纳的契税，计入什么科目？,采购无形资产,,,,,财务,"城市基础设施配套费应该是为了建造厂房而发生的支出 应该计入固定资产科目 那对应的契税也应该计入固定资产科目 。

依据：河北省人民政府关于进一步调整和规范城市基础设施配套费管理的实施意见",,若该款项系针对土地使用权征收，且在土地使用期限内仅征收一次，可并入土地使用权成本，按土地使用权年限分期摊销；若该款项系针对地块上待建工程项目征收，且后续在该地块新建其他项目时需再次征收，则应归属于在建工程相关支出，计入在建工程成本。
gzb1_225,"23年车船税
   25年补缴本金及滞纳金会计分录，还有多缴退税分录，小企业会计准则",赔付,,,,,财务,"补缴本金：
借：税金及附加  
贷：应交税费—应交车船税  
借：应交税费—应交车船税  
贷：银行存款  
支付滞纳金
借：营业外支出—税收滞纳金  
贷：银行存款  

多缴退税：
确认应退税额时：
借：应交税费—应交车船税  
贷：税金及附加 
实际收到退税款时:
借：银行存款  
贷：应交税费—应交车船税",,"补缴本金：
借：税金及附加  
贷：应交税费—应交车船税  
借：应交税费—应交车船税  
贷：银行存款  
支付滞纳金
借：营业外支出—税收滞纳金  
贷：银行存款  

多缴退税：
确认应退税额时：
借：应交税费—应交车船税  
贷：税金及附加 
实际收到退税款时:
借：银行存款  
贷：应交税费—应交车船税"
gzb1_227,矿泉水厂用水交的水资源税计入成本？还是计提税金及附加？,生产货物,,,,,财务,"计提税金及附加
企业申报缴纳的水资源税账务处理如下：
借：税金及附加
贷：应交税费—水资源税
借：应交税费—水资源税
贷：银行存款
参考文件：《财政部关于印发《增值税会计处理规定》的通知》（财会[2016]22号）。",,"生产用缴纳的水资源税计入税金及附加
会计分录如下：
借：税金及附加
贷：应交税费-水资源税
借：应交税费-水资源税
贷：银行存款"
gzb1_237,有进口货物业务，付款跟收到海关缴款书后，分别怎么做会计分录,采购货物,进口,,,,财务,"关税，记入的是货物入账价值的哦
进口关税应计入进口商品的入账价值中，具体的账务处理您参考：
借：库存商品/固定资产等（购进价格+关税）
应交税费—待认证进项税额（海关增值税专用缴款书）
贷：银行存款
认证抵扣时：
借：应交税费—应交增值税（进项税额）
贷：应交税费—待认证进项税额",,"海关缴款书一般可能包含关税、进口增值税、进口消费税。
1.关税直接计入货物入账价值；
2.消费税拆分为可抵扣与不可抵扣，若进口应税消费品用于连续生产应税消费品的，已纳消费税准予按生产领用数量抵扣；进口应税消费品用于直接销售、连续生产非应税消费品或其他方面的，消费税计入存货采购成本；
3.未取得海关缴款书时，暂挂预付账款。

会计分录如下：
1.付款时：
借：预付账款-境外供应商
预付账款-应交关税、消费税、增值税
贷：银行存款

2.若已收到货物，需按不含进项税金额暂估入账
借：库存商品
贷：预付账款-暂估

3.取得海关缴款书时：
借：库存商品/固定资产等（购进价格+关税+不可抵扣消费税）
应交税费-待认证进项税
应交税费-待抵扣消费税（若有）
贷：预付账款-境外供应商  
预付账款-应交关税、消费税、增值税

借：库存商品 （红冲）
贷：预付账款-暂估 （红冲）

4.增值税进项税认证抵扣时：
借：应交税费-应交增值税（进项税额）
贷：应交税费-待认证进项税

5.生产领用时抵扣消费税：
借：应交税费-应交消费税
贷：应交税费-待抵扣消费税

注：
依据《增值税会计处理规定》（财会〔2016〕22 号）及财政部会计司的官方解读，需按照暂估入账金额不含进项税的口径进行核算处理。
1.《增值税会计处理规定》第二（一）4项
2.会计司解读：在对《规定》第二（一）4项中已验收入库但尚未取得增值税扣税凭证的货物等暂估入账时，暂估入账的金额不包含增值税进项税额。一般纳税人购进劳务、服务等但尚未取得增值税扣税凭证的，比照处理。"
gzb1_272,叉车买来后，单独又买的叉车上用的锂电池，应该记入哪个科目？,资产更新改造,,,,,财务,"叉车上用的锂电池单独购买时，可以根据以下原则进行账务处理：
1、如果电池符合固定资产定义（使用期限超过12个月且金额达到企业固定资产标准），可以计入固定资产科目：
借：固定资产
应交税费-应交增值税（进项税额）（若涉及）
贷：银行存款等
2、如果不符合固定资产标准，但属于可多次使用的低值易耗品，可以计入周转材料科目：
借：周转材料-低值易耗品
应交税费-应交增值税（进项税额）（若涉及）
贷：银行存款等
3、如果金额较小且不符合上述条件，可以根据受益对象直接计入相关费用科目。",,"叉车上用的锂电池单独购买时，可以根据以下原则进行账务处理：
1、单独计入固定资产（符合固定资产定义且可独立更换、周转使用）：
借：固定资产-机器设备（电池）
应交税费-应交增值税（进项税额）（若涉及）
贷：银行存款等

2、并入叉车成本（符合固定资产定义，且属于叉车不可缺少的部分）：
借：固定资产-机器设备（叉车）
应交税费-应交增值税（进项税额）（若涉及）
贷：银行存款等

3、计入周转材料-低值易耗品（不符合固定资产标准，但属于可多次使用的低值易耗品）：
借：周转材料-低值易耗品
应交税费-应交增值税（进项税额）（若涉及）
贷：银行存款等

4、如果金额较小且不符合上述条件，可以根据受益对象直接计入相关费用科目。

注：固定资产定义：使用期限超过12个月且金额达到企业固定资产标准"
